Institute,Location,Type,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,SC,Female Only,,1130973,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OPEN (CW),Gender-Neutral,,436193,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OBC (CW),Gender-Neutral,,280128,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,OPEN,Gender-Neutral,,79890,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,EWS,Gender-Neutral,,149099,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,OBC-NCL,Gender-Neutral,,425798,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,SC,Gender-Neutral,,921597,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,OPEN,Female Only,,83821,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,EWS,Female Only,,184979,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,OBC-NCL,Female Only,,471268,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,SC,Female Only,,1204554,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,HS,OPEN (CW),Gender-Neutral,,179646,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OPEN,Gender-Neutral,,35335,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,EWS,Gender-Neutral,,54376,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OBC-NCL,Gender-Neutral,,122106,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,SC,Gender-Neutral,,242397,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,ST,Gender-Neutral,,586310,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OPEN,Female Only,,55920,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,EWS,Female Only,,85784,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OBC-NCL,Female Only,,213821,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,SC,Female Only,,411039,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OPEN (CW),Gender-Neutral,,52420,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OBC (CW),Gender-Neutral,,171584,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),HS,OPEN (PwD),Gender-Neutral,,492106,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OPEN,Gender-Neutral,,39235,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,EWS,Gender-Neutral,,58980,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OBC-NCL,Gender-Neutral,,148000,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,SC,Gender-Neutral,,320932,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,ST,Gender-Neutral,,824815,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OPEN,Female Only,,70486,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,EWS,Female Only,,104695,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OBC-NCL,Female Only,,260997,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,SC,Female Only,,489798,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OPEN (CW),Gender-Neutral,,53904,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,EWS (CW),Gender-Neutral,,89568,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),HS,OPEN (PwD),Gender-Neutral,,441136,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OPEN,Gender-Neutral,,47145,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,EWS,Gender-Neutral,,70752,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OBC-NCL,Gender-Neutral,,181233,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,SC,Gender-Neutral,,455021,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OPEN,Female Only,,82978,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,EWS,Female Only,,165130,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OBC-NCL,Female Only,,321682,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,SC,Female Only,,690714,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OPEN (CW),Gender-Neutral,,67666,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,EWS (CW),Gender-Neutral,,495783,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OBC (CW),Gender-Neutral,,501552,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),HS,OPEN (PwD),Gender-Neutral,,1004135,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OPEN,Gender-Neutral,,75156,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,EWS,Gender-Neutral,,148509,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OBC-NCL,Gender-Neutral,,429105,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,SC,Gender-Neutral,,901257,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OPEN,Female Only,,105529,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,EWS,Female Only,,190122,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OBC-NCL,Female Only,,500605,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,SC,Female Only,,973904,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OPEN (CW),Gender-Neutral,,184421,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),HS,OBC (CW),Gender-Neutral,,997627,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,OPEN,Gender-Neutral,,84121,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,EWS,Gender-Neutral,,158779,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,OBC-NCL,Gender-Neutral,,474810,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,SC,Gender-Neutral,,842323,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,ST,Gender-Neutral,,894734,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,OPEN,Female Only,,107062,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,EWS,Female Only,,218460,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,OBC-NCL,Female Only,,572569,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,SC,Female Only,,1106765,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,HS,OPEN (CW),Gender-Neutral,,193015,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,OPEN,Gender-Neutral,,88631,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,EWS,Gender-Neutral,,173994,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,OBC-NCL,Gender-Neutral,,570334,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,SC,Gender-Neutral,,1064756,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,OPEN,Female Only,,116027,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,EWS,Female Only,,242518,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,OBC-NCL,Female Only,,621009,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,HS,OPEN (CW),Gender-Neutral,,195338,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,HS,OPEN,Gender-Neutral,,6219,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,HS,EWS,Gender-Neutral,,21924,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,HS,OBC-NCL,Gender-Neutral,,37937,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,HS,SC,Gender-Neutral,,61765,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,HS,OPEN (CW),Gender-Neutral,,34909,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,OPEN,Gender-Neutral,,7417,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,EWS,Gender-Neutral,,10522,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,OBC-NCL,Gender-Neutral,,16445,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,SC,Gender-Neutral,,59869,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,ST,Gender-Neutral,,92299,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,OPEN,Female Only,,12369,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,EWS,Female Only,,17491,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,OBC-NCL,Female Only,,27060,2024
